,experiment,metric,measure,lm_fit,n_subj,n_item,Q1,median,Q3,failed_mean,power_Q1,power_median,power_Q3
1,Coordination,gaze_duration,MoTR,good,10,24,14.881669378874,20.5256897624046,26.0709890848347,0.0166666666666667,0.0824742268041237,0.08,0.173469387755102
2,Coordination,gaze_duration,MoTR,good,20,24,14.881669378874,20.5256897624046,26.0709890848347,0.00333333333333335,0.131313131313131,0.25,0.43
3,Coordination,gaze_duration,MoTR,good,40,24,14.881669378874,20.5256897624046,26.0709890848347,0.0133333333333333,0.268041237113402,0.45,0.616161616161616
4,Coordination,gaze_duration,MoTR,good,60,24,14.881669378874,20.5256897624046,26.0709890848347,0.00666666666666666,0.3,0.525252525252525,0.676767676767677
5,Coordination,gaze_duration,MoTR,good,80,24,14.881669378874,20.5256897624046,26.0709890848347,0,0.37,0.57,0.79
6,Coordination,go_past_time,MoTR,good,10,24,18.1090226557984,25.1488549649679,32.2588907406967,0.0133333333333333,0.0816326530612245,0.0909090909090909,0.212121212121212
7,Coordination,go_past_time,MoTR,good,20,24,18.1090226557984,25.1488549649679,32.2588907406967,0.00666666666666667,0.18,0.181818181818182,0.333333333333333
8,Coordination,go_past_time,MoTR,good,40,24,18.1090226557984,25.1488549649679,32.2588907406967,0.0133333333333333,0.28,0.397959183673469,0.63265306122449
9,Coordination,go_past_time,MoTR,good,60,24,18.1090226557984,25.1488549649679,32.2588907406967,0.0133333333333333,0.404040404040404,0.59,0.835051546391753
10,Coordination,go_past_time,MoTR,good,80,24,18.1090226557984,25.1488549649679,32.2588907406967,0.0166666666666667,0.454545454545455,0.636363636363636,0.896907216494845
11,Coordination,go_past_time,G-Maze,ill,10,24,-51.7776971584838,-21.2455236090426,6.89275194191242,0.00333333333333334,0.06,0.0707070707070707,0.02
12,Coordination,go_past_time,G-Maze,ill,20,24,-51.7776971584838,-21.2455236090426,6.89275194191242,0.0166666666666667,0.161616161616162,0.0714285714285714,0.0408163265306122
13,Coordination,go_past_time,G-Maze,ill,40,24,-51.7776971584838,-21.2455236090426,6.89275194191242,0.00333333333333334,0.313131313131313,0.05,0.05
14,Coordination,go_past_time,G-Maze,ill,60,24,-51.7776971584838,-21.2455236090426,6.89275194191242,0.00666666666666667,0.38,0.0816326530612245,0.06
15,Coordination,go_past_time,G-Maze,ill,80,24,-51.7776971584838,-21.2455236090426,6.89275194191242,0.00999999999999999,0.464646464646465,0.131313131313131,0.0303030303030303
16,Coordination,go_past_time,A-Maze,ill,10,24,72.3069818505314,95.9125598804189,120.253084034832,0.00999999999999999,0.212121212121212,0.244897959183673,0.33
17,Coordination,go_past_time,A-Maze,ill,20,24,72.3069818505314,95.9125598804189,120.253084034832,0.00666666666666666,0.34,0.53,0.755102040816326
18,Coordination,go_past_time,A-Maze,ill,40,24,72.3069818505314,95.9125598804189,120.253084034832,0.00666666666666667,0.59,0.86734693877551,0.96
19,Coordination,go_past_time,A-Maze,ill,60,24,72.3069818505314,95.9125598804189,120.253084034832,0.00999999999999999,0.89,0.94949494949495,1
20,Coordination,go_past_time,A-Maze,ill,80,24,72.3069818505314,95.9125598804189,120.253084034832,0.0233333333333333,0.88659793814433,1,1
21,Coordination,go_past_time,SPR,ill,10,24,1.60024671039284,6.83760419543333,12.4061091867437,0.00999999999999998,0.0553535353535353,0.065,0.056438039133179
22,Coordination,go_past_time,SPR,ill,20,24,1.60024671039284,6.83760419543333,12.4061091867437,0.0166666666666666,0.0508142650999794,0.0513359983168525,0.126224489795918
23,Coordination,go_past_time,SPR,ill,40,24,1.60024671039284,6.83760419543333,12.4061091867437,0.00833333333333333,0.0502525252525253,0.101422387136673,0.230959595959596
24,Coordination,go_past_time,SPR,ill,60,24,1.60024671039284,6.83760419543333,12.4061091867437,0.03,0.0367998263135041,0.0979381443298969,0.367281058002707
25,Coordination,go_past_time,SPR,ill,80,24,1.60024671039284,6.83760419543333,12.4061091867437,0.025,0.0260416666666667,0.183673469387755,0.472273757988044
26,Coordination,total_duration,MoTR,good,10,24,39.0435641282983,47.4070962368663,55.8405028254058,0.00333333333333333,0.16,0.15,0.353535353535354
27,Coordination,total_duration,MoTR,good,20,24,39.0435641282983,47.4070962368663,55.8405028254058,0.00666666666666668,0.387755102040816,0.5,0.55
28,Coordination,total_duration,MoTR,good,40,24,39.0435641282983,47.4070962368663,55.8405028254058,0.01,0.65,0.828282828282828,0.908163265306122
29,Coordination,total_duration,MoTR,good,60,24,39.0435641282983,47.4070962368663,55.8405028254058,0.0166666666666667,0.846938775510204,0.948453608247423,0.98
30,Coordination,total_duration,MoTR,good,80,24,39.0435641282983,47.4070962368663,55.8405028254058,0.0133333333333333,0.896907216494845,0.99,1
31,Relative Clause,gaze_duration,MoTR,ill,10,24,9.51460719400961,15.3667056849761,20.9896725066478,0.00333333333333334,0.07,0.0505050505050505,0.16
32,Relative Clause,gaze_duration,MoTR,ill,20,24,9.51460719400961,15.3667056849761,20.9896725066478,0,0.04,0.09,0.27
33,Relative Clause,gaze_duration,MoTR,ill,40,24,9.51460719400961,15.3667056849761,20.9896725066478,0.00666666666666666,0.101010101010101,0.313131313131313,0.4
34,Relative Clause,gaze_duration,MoTR,ill,60,24,9.51460719400961,15.3667056849761,20.9896725066478,0.0166666666666667,0.121212121212121,0.363636363636364,0.56701030927835
